Country,Country Code,Region,Life expectancy,GDP per capita,Corruption,Mortality caused by road traffic injury,Health Expenditure %,Education Expenditure %
Angola,AGO,Sub-Saharan Africa,61.147,2809.62608839129,0.3611110999999999,26.1,2.53335953,1.92745733261108
Albania,ALB,Europe & Central Asia,78.573,5395.65953185375,0.41666666,11.7,,3.91665005683899
United Arab Emirates,ARE,Middle East & North Africa,77.972,42701.4430454782,0.66666669,8.9,4.27504921,3.86736989021301
Argentina,ARG,Latin America & Caribbean,76.667,10056.637940265,0.40972221,14.1,9.5100708,4.72417020797729
Armenia,ARM,Europe & Central Asia,75.087,4604.64632355695,0.33333334,20.0,11.33526421,2.56185007095337
Australia,AUS,East Asia & Pacific,82.9,54875.2859563351,0.75,4.9,9.91078568,
Austria,AUT,Europe & Central Asia,81.8951219512195,50114.4011099728,0.75,4.9,10.43403149,
Azerbaijan,AZE,Europe & Central Asia,73.005,4805.75371765917,0.25,6.7,4.03829002,2.68108010292053
Burundi,BDI,Sub-Saharan Africa,61.584,228.213589244227,,35.5,7.99091434,5.34668445587158
Belgium,BEL,Europe & Central Asia,81.9951219512195,46591.4916067396,0.75,5.8,10.65604973,
Benin,BEN,Sub-Saharan Africa,61.771,1219.51550596905,,26.8,2.38842916,2.96519994735718
Burkina Faso,BFA,Sub-Saharan Africa,61.577,796.115206827676,0.41666666,31.0,5.46494246,5.69684505462646
Bangladesh,BGD,South Asia,72.591,1855.74009422319,0.41666666,15.3,2.48357606,1.32632005214691
Bulgaria,BGR,Europe & Central Asia,75.1121951219512,9879.26853313318,0.5,9.2,7.12611389,
Bahrain,BHR,Middle East & North Africa,77.292,23551.9300857404,0.41666666,5.2,4.01147509,2.09491229057312
Bosnia and Herzegovina,BIH,Europe & Central Asia,77.401,6119.76234462222,,13.5,9.04909897,
Belarus,BLR,Europe & Central Asia,74.2268292682927,6837.71782606351,0.33333334,7.6,5.86133957,4.97947978973389
Bolivia,BOL,Latin America & Caribbean,71.513,3552.06814321502,0.33333334,21.1,6.9233799,
Brazil,BRA,Latin America & Caribbean,75.881,8897.55296585529,0.33333334,16.0,9.5912714,
Barbados,BRB,Latin America & Caribbean,79.19,18148.4978451054,,8.2,6.29990387,3.20398998260498
Botswana,BWA,Sub-Saharan Africa,69.592,7203.06422122998,0.5138889,26.4,6.04836559,6.91436862945557
Central African Republic,CAF,Sub-Saharan Africa,53.283,467.908032277798,,37.7,7.75300884,1.76871228218079
Canada,CAN,North America,82.0487804878049,46328.6718408497,0.83333331,5.3,10.84447765,
Switzerland,CHE,Europe & Central Asia,83.9048780487805,85334.5194620909,0.83333331,2.2,11.29148102,
Chile,CHL,Latin America & Caribbean,80.181,14741.7144039936,0.66666669,14.9,9.33272362,
China,CHN,East Asia & Pacific,76.912,10143.8381719921,0.33333334,17.4,5.3502779,3.53999996185303
Cote d'Ivoire,CIV,Sub-Saharan Africa,57.783,2276.3323939018,0.33333334,24.1,3.29862952,3.71638154983521
Cameroon,CMR,Sub-Saharan Africa,59.292,1533.09568807789,0.25,30.2,3.59539533,3.08087658882141
Colombia,COL,Latin America & Caribbean,77.287,6424.9794924083,0.41666666,15.4,7.70943594,4.5062198638916
Costa Rica,CRI,Latin America & Caribbean,80.279,12693.8279560372,0.41666666,14.8,7.27393246,6.79584980010986
Cuba,CUB,Latin America & Caribbean,78.802,9125.8786794952,0.5,8.9,11.34020519,
Cyprus,CYP,Europe & Central Asia,80.982,29206.0767190775,0.58333331,5.8,7.00903225,
Germany,DEU,Europe & Central Asia,81.2926829268293,46794.8992915603,0.83333331,3.8,11.69724941,
Denmark,DNK,Europe & Central Asia,81.4512195121951,59775.7350964515,0.91666669,3.7,9.95583057,
Dominican Republic,DOM,Latin America & Caribbean,74.081,8282.11713050921,0.33333334,64.6,5.929142,4.04276990890503
Algeria,DZA,Middle East & North Africa,76.88,3989.66827645236,0.33333334,20.9,6.24337101,6.10035991668701
Ecuador,ECU,Latin America & Caribbean,77.01,6222.52465327248,0.40972221,20.1,7.81824684,4.22565984725952
Eritrea,ERI,Sub-Saharan Africa,66.321,,,37.9,4.45876694,
Spain,ESP,Europe & Central Asia,83.8317073170732,29554.4905170087,0.58333331,3.9,9.13213158,
Estonia,EST,Europe & Central Asia,78.6463414634147,23397.8782560944,0.66666669,4.5,6.7304492,
Ethiopia,ETH,Sub-Saharan Africa,66.597,855.760885186903,0.35416666,28.2,3.23808599,
Finland,FIN,Europe & Central Asia,81.9829268292683,48628.641762105,0.91666669,3.9,9.15348339,
France,FRA,Europe & Central Asia,82.8268292682927,40578.6442850534,0.66666669,5.1,11.05747223,
Gabon,GAB,Sub-Saharan Africa,66.467,7766.99655422948,0.33333334,23.9,2.76836205,2.73232412338257
United Kingdom,GBR,Europe & Central Asia,81.2048780487805,43070.4983595888,0.83333331,3.2,10.15402699,
Georgia,GEO,Europe & Central Asia,73.767,4697.98365238984,,12.4,6.65744257,3.80864000320435
